measureParameterID,name,definition,description,valueStructure,valueType
https://standards.isotc211.org/19157/-1/1/dqc/content/measureParameter/MP1,Sample size,minimum of 30 points is normally used but may not always be possible depending on identifiable control points. For feature level attribution sample 10 % of the feature population.,,,Real
https://standards.isotc211.org/19157/-1/1/dqc/content/measureParameter/MP2,n,number of classes under consideration,,,Integer
