formulaTypeID,sequence,mathematicalFormula,language,languageVersion,key
FT32,1.0,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi> <mo>=</mo> <mfenced close=""]"" open=""[""> <mtable> <mtr> <mtd> <msub> <mi>x</mi> <mn>1</mn> </msub> </mtd> </mtr> <mtr> <mtd> <mo>⋮</mo> </mtd> </mtr> <mtr> <mtd> <msub> <mi>x</mi> <mi>n</mi> </msub> </mtd> </mtr> </mtable> </mfenced></math>",MathML,1.0, 1D coordinates (e.g. height data). Formula for vector-valued random variable.
FT32,2.0,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mstyle displaystyle=""false""> <munder> <mo>∑</mo> <mrow> <mi>x</mi> <mi>x</mi> </mrow> </munder> </mstyle> <mo>=</mo> <mfenced close=""]"" open=""[""> <mtable> <mtr> <mtd> <msubsup> <mi>σ</mi> <msub> <mi>x</mi> <mn>1</mn> </msub> <mn>2</mn> </msubsup> </mtd> <mtd> <mo>⋯</mo> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>x</mi> <mn>1</mn> </msub> <msub> <mi>x</mi> <mi>n</mi> </msub> </mrow> </msub> </mtd> </mtr> <mtr> <mtd> <mo>⋮</mo> </mtd> <mtd> <mo>⋱</mo> </mtd> <mtd> <mo>⋮</mo> </mtd> </mtr> <mtr> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>x</mi> <mi>n</mi> </msub> <msub> <mi>x</mi> <mn>1</mn> </msub> </mrow> </msub> </mtd> <mtd> <mo>⋯</mo> </mtd> <mtd> <msubsup> <mi>σ</mi> <msub> <mi>x</mi> <mi>n</mi> </msub> <mn>2</mn> </msubsup> </mtd> </mtr> </mtable> </mfenced></math>
<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub> <mi>σ</mi> <mrow> <msub> <mi>x</mi> <mn>1</mn> </msub> <msub> <mi>x</mi> <mi>n</mi> </msub> </mrow> </msub> <mo>=</mo> <msub> <mi>σ</mi> <mrow> <msub> <mi>x</mi> <mi>n</mi> </msub> <msub> <mi>x</mi> <mn>1</mn> </msub> </mrow> </msub></math>",MathML,1.0,"1D coordinates (e.g. height data). Formula for the covariance matrix of the vector-valued random variable.
"
FT32,3.0,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub> <mi>σ</mi> <msub> <mi>x</mi> <mn>1</mn> </msub> </msub> <mo>=</mo> <msqrt> <msubsup> <mi>σ</mi> <msub> <mi>x</mi> <mn>1</mn> </msub> <mn>2</mn> </msubsup> </msqrt></math>",MathML,1.0,"1D coordinates (e.g. height data). Formula for the standard deviation of an element, e.g. x1
"
FT32,4.0,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub> <mi>ρ</mi> <mrow> <msub> <mi>x</mi> <mi>i</mi> </msub> <msub> <mi>x</mi> <mi>j</mi> </msub> </mrow> </msub> <mo>=</mo> <mfrac> <msub> <mi>σ</mi> <mrow> <msub> <mi>x</mi> <mi>i</mi> </msub> <msub> <mi>x</mi> <mi>j</mi> </msub> </mrow> </msub> <mrow> <msub> <mi>σ</mi> <msub> <mi>x</mi> <mi>i</mi> </msub> </msub> <msub> <mi>σ</mi> <msub> <mi>x</mi> <mi>j</mi> </msub> </msub> </mrow> </mfrac></math>",MathML,1.0,"1D coordinates (e.g. height data). Formula for the correlation between two elements.
"
FT32,5.0,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi> <mo>=</mo> <mfenced close=""]"" open=""[""> <mtable> <mtr> <mtd> <msub> <mi>x</mi> <mn>1</mn> </msub> </mtd> </mtr> <mtr> <mtd> <msub> <mi>y</mi> <mn>1</mn> </msub> </mtd> </mtr> <mtr> <mtd> <mo>⋮</mo> </mtd> </mtr> <mtr> <mtd> <msub> <mi>x</mi> <mi>n</mi> </msub> </mtd> </mtr> <mtr> <mtd> <msub> <mi>y</mi> <mi>n</mi> </msub> </mtd> </mtr> </mtable> </mfenced></math>",MathML,1.0,"2D coordinates. Formula for the covariance matrix of the vector-valued random variable.
"
FT32,6.0,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mstyle displaystyle=""false""> <munder> <mo>∑</mo> <mrow> <mi>x</mi> <mi>x</mi> </mrow> </munder> </mstyle> <mo>=</mo> <mfenced close=""]"" open=""[""> <mtable> <mtr> <mtd> <msubsup> <mi>σ</mi> <msub> <mi>x</mi> <mn>1</mn> </msub> <mn>2</mn> </msubsup> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>x</mi> <mn>1</mn> </msub> <msub> <mi>y</mi> <mn>1</mn> </msub> </mrow> </msub> </mtd> <mtd> <mo>⋯</mo> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>x</mi> <mn>1</mn> </msub> <msub> <mi>y</mi> <mi>n</mi> </msub> </mrow> </msub> </mtd> </mtr> <mtr> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>y</mi> <mn>1</mn> </msub> <msub> <mi>x</mi> <mn>1</mn> </msub> </mrow> </msub> </mtd> <mtd> <msubsup> <mi>σ</mi> <msub> <mi>y</mi> <mn>1</mn> </msub> <mn>2</mn> </msubsup> </mtd> <mtd> <mo>⋯</mo> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>y</mi> <mn>1</mn> </msub> <msub> <mi>y</mi> <mi>n</mi> </msub> </mrow> </msub> </mtd> </mtr> <mtr> <mtd> <mo>⋮</mo> </mtd> <mtd> <mo>⋮</mo> </mtd> <mtd> <mo>⋱</mo> </mtd> <mtd> <mo>⋮</mo> </mtd> </mtr> <mtr> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>y</mi> <mi>n</mi> </msub> <msub> <mi>x</mi> <mn>1</mn> </msub> </mrow> </msub> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>y</mi> <mi>n</mi> </msub> <msub> <mi>y</mi> <mn>1</mn> </msub> </mrow> </msub> </mtd> <mtd> <mo>⋯</mo> </mtd> <mtd> <msubsup> <mi>σ</mi> <msub> <mi>y</mi> <mi>n</mi> </msub> <mn>2</mn> </msubsup> </mtd> </mtr> </mtable> </mfenced></math>",MathML,1.0,"2D coordinates. Formula for the covariance matrix of the vector-valued random variable.
"
FT32,7.0,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi> <mo>=</mo> <mfenced close=""]"" open=""[""> <mtable> <mtr> <mtd> <msub> <mi>x</mi> <mn>1</mn> </msub> </mtd> </mtr> <mtr> <mtd> <msub> <mi>y</mi> <mn>1</mn> </msub> </mtd> </mtr> <mtr> <mtd> <msub> <mi>z</mi> <mn>1</mn> </msub> </mtd> </mtr> <mtr> <mtd> <mo>⋮</mo> </mtd> </mtr> <mtr> <mtd> <msub> <mi>y</mi> <mi>n</mi> </msub> </mtd> </mtr> <mtr> <mtd> <msub> <mi>z</mi> <mi>n</mi> </msub> </mtd> </mtr> </mtable> </mfenced></math>",MathML,1.0,"3D coordinates. Formula for the covariance matrix of the vector-valued random variable.
"
FT32,8.0,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mstyle displaystyle=""false""> <munder> <mo>∑</mo> <mrow> <mi>x</mi> <mi>x</mi> </mrow> </munder> </mstyle> <mo>=</mo> <mfenced close=""]"" open=""[""> <mtable> <mtr> <mtd> <msubsup> <mi>σ</mi> <msub> <mi>x</mi> <mn>1</mn> </msub> <mn>2</mn> </msubsup> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>x</mi> <mn>1</mn> </msub> <msub> <mi>y</mi> <mn>1</mn> </msub> </mrow> </msub> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>x</mi> <mn>1</mn> </msub> <msub> <mi>z</mi> <mn>1</mn> </msub> </mrow> </msub> </mtd> <mtd> <mo>⋯</mo> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>x</mi> <mn>1</mn> </msub> <msub> <mi>y</mi> <mi>n</mi> </msub> </mrow> </msub> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>x</mi> <mn>1</mn> </msub> <msub> <mi>z</mi> <mi>n</mi> </msub> </mrow> </msub> </mtd> </mtr> <mtr> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>x</mi> <mn>1</mn> </msub> <msub> <mi>y</mi> <mn>1</mn> </msub> </mrow> </msub> </mtd> <mtd> <msubsup> <mi>σ</mi> <msub> <mi>y</mi> <mn>1</mn> </msub> <mn>2</mn> </msubsup> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>y</mi> <mn>1</mn> </msub> <msub> <mi>z</mi> <mn>1</mn> </msub> </mrow> </msub> </mtd> <mtd> <mo>⋯</mo> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>y</mi> <mn>1</mn> </msub> <msub> <mi>y</mi> <mi>n</mi> </msub> </mrow> </msub> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>y</mi> <mn>1</mn> </msub> <msub> <mi>z</mi> <mi>n</mi> </msub> </mrow> </msub> </mtd> </mtr> <mtr> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>x</mi> <mn>1</mn> </msub> <msub> <mi>z</mi> <mn>1</mn> </msub> </mrow> </msub> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>y</mi> <mn>1</mn> </msub> <msub> <mi>z</mi> <mn>1</mn> </msub> </mrow> </msub> </mtd> <mtd> <msubsup> <mi>σ</mi> <msub> <mi>z</mi> <mn>1</mn> </msub> <mn>2</mn> </msubsup> </mtd> <mtd> <mo>⋯</mo> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>z</mi> <mn>1</mn> </msub> <msub> <mi>y</mi> <mi>n</mi> </msub> </mrow> </msub> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>z</mi> <mn>1</mn> </msub> <msub> <mi>z</mi> <mi>n</mi> </msub> </mrow> </msub> </mtd> </mtr> <mtr> <mtd> <mo>⋮</mo> </mtd> <mtd> <mo>⋮</mo> </mtd> <mtd> <mo>⋮</mo> </mtd> <mtd> <mo>⋱</mo> </mtd> <mtd> <mo>⋮</mo> </mtd> <mtd> <mo>⋮</mo> </mtd> </mtr> <mtr> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>x</mi> <mn>1</mn> </msub> <msub> <mi>y</mi> <mi>n</mi> </msub> </mrow> </msub> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>y</mi> <mn>1</mn> </msub> <msub> <mi>y</mi> <mi>n</mi> </msub> </mrow> </msub> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>z</mi> <mn>1</mn> </msub> <msub> <mi>y</mi> <mi>n</mi> </msub> </mrow> </msub> </mtd> <mtd> <mo>⋯</mo> </mtd> <mtd> <msubsup> <mi>σ</mi> <msub> <mi>y</mi> <mi>n</mi> </msub> <mn>2</mn> </msubsup> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>y</mi> <mi>n</mi> </msub> <msub> <mi>z</mi> <mi>n</mi> </msub> </mrow> </msub> </mtd> </mtr> <mtr> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>x</mi> <mn>1</mn> </msub> <msub> <mi>z</mi> <mi>n</mi> </msub> </mrow> </msub> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>y</mi> <mn>1</mn> </msub> <msub> <mi>z</mi> <mi>n</mi> </msub> </mrow> </msub> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>z</mi> <mn>1</mn> </msub> <msub> <mi>z</mi> <mi>n</mi> </msub> </mrow> </msub> </mtd> <mtd> <mo>⋯</mo> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>y</mi> <mi>n</mi> </msub> <msub> <mi>z</mi> <mi>n</mi> </msub> </mrow> </msub> </mtd> <mtd> <msubsup> <mi>σ</mi> <msub> <mi>z</mi> <mi>n</mi> </msub> <mn>2</mn> </msubsup> </mtd> </mtr> </mtable> </mfenced></math>",MathML,1.0,"3D coordinates. Formula for the covariance matrix of the vector-valued random variable.
"
FT32,9.0,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi> <mo>=</mo> <mfenced close=""]"" open=""[""> <mtable> <mtr> <mtd> <mi>a</mi> </mtd> </mtr> <mtr> <mtd> <mi>b</mi> </mtd> </mtr> <mtr> <mtd> <mo>⋮</mo> </mtd> </mtr> <mtr> <mtd> <mi>z</mi> </mtd> </mtr> </mtable> </mfenced></math>",MathML,1.0,Arbitrary observables.  Formula for the covariance matrix of the vector-valued random variable.
FT32,10.0,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mstyle displaystyle=""false""> <munder> <mo>∑</mo> <mrow> <mi>x</mi> <mi>x</mi> </mrow> </munder> </mstyle> <mo>=</mo> <mfenced close=""]"" open=""[""> <mtable> <mtr> <mtd> <mi>σ</mi> <mfrac> <mn>2</mn> <mi>a</mi> </mfrac> </mtd> <mtd> <msub> <mi>σ</mi> <msub> <mi>b</mi> <mi>a</mi> </msub> </msub> </mtd> <mtd> <mo>…</mo> </mtd> <mtd> <msub> <mi>σ</mi> <msub> <mi>z</mi> <mi>a</mi> </msub> </msub> </mtd> </mtr> <mtr> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>a</mi> <mi>b</mi> </msub> <mo>=</mo> </mrow> </msub> <msub> <mi>σ</mi> <msub> <mi>b</mi> <mi>a</mi> </msub> </msub> </mtd> <mtd> <mi>σ</mi> <mfrac> <mn>2</mn> <mi>b</mi> </mfrac> </mtd> <mtd> <mo>…</mo> </mtd> <mtd> <msub> <mi>σ</mi> <msub> <mi>z</mi> <mi>b</mi> </msub> </msub> </mtd> </mtr> <mtr> <mtd> <mo>⋮</mo> </mtd> <mtd> <mo>⋮</mo> </mtd> <mtd> <mo>⋱</mo> </mtd> <mtd> <mo>⋮</mo> </mtd> </mtr> <mtr> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>a</mi> <mi>z</mi> </msub> <mo>=</mo> </mrow> </msub> <msub> <mi>σ</mi> <msub> <mi>z</mi> <mi>a</mi> </msub> </msub> </mtd> <mtd> <msub> <mi>σ</mi> <mrow> <msub> <mi>b</mi> <mi>z</mi> </msub> <mo>=</mo> </mrow> </msub> <msub> <mi>σ</mi> <msub> <mi>z</mi> <mi>b</mi> </msub> </msub> </mtd> <mtd> <mo>…</mo> </mtd> <mtd> <mi>σ</mi> <mfrac> <mn>2</mn> <mi>z</mi> </mfrac> </mtd> </mtr> </mtable> </mfenced></math>",MathML,1.0,Arbitrary observables.   Formula for the covariance matrix of the vector-valued random variable.
